index,/gantry/pitch/target,/gantry/pitch/measurement,/gantry/pitch/control_velocity,/gantry/imu/roll,/gantry/imu/pitch,/gantry/imu/yaw,/dart/left_motor/angle,/dart/left_motor/velocity,/dart/left_motor/control_velocity,/dart/left_motor/torque,/dart/left_motor/control_torque,/dart/right_motor/angle,/dart/right_motor/velocity,/dart/right_motor/control_velocity,/dart/right_motor/torque,/dart/right_motor/control_torque,/dart/up_motor/angle,/dart/up_motor/velocity,/dart/up_motor/control_velocity,/dart/up_motor/torque,/dart/up_motor/control_torque
14694,2.58885,2.58961,-7.68058,2.58961,-0.0588865,0.170239,-261.131,-7.37402,-7.69668,-0.0929443,-0.0960716,-261.28,-7.1064,-7.66448,-0.130737,-0.170673,0.0201761,-0,0,-0.00406494,0
14695,2.58882,2.58961,-7.95687,2.58961,-0.0588883,0.170243,-261.168,-7.35075,-7.97297,-0.0368042,-0.18,-261.317,-7.12676,-7.94077,-0.143262,-0.18,0.0201761,-0,0,-0.00406494,0
14696,2.5888,2.58957,-7.72029,2.58957,-0.0588847,0.170259,-261.204,-7.63,-7.73639,-0.116016,-0.0261521,-261.353,-7.74635,-7.70419,-0.0632812,0.0219679,0.0201761,-0,0,-0.00109863,0
14697,2.58877,2.58953,-7.60413,2.58953,-0.058883,0.17025,-261.241,-7.47874,-7.6202,-0.0780029,-0.0397681,-261.39,-7.662,-7.58806,-0.0928345,0.0311541,0.0201761,-0,0,-0.00109863,0
14698,2.58875,2.58951,-7.62848,2.58951,-0.0589137,0.170253,-261.277,-7.15876,-7.64447,-0.0975586,-0.147717,-261.425,-8.0227,-7.61249,-0.0381226,0.136663,0.0201761,-0,0,0.00109863,0
14699,2.58872,2.58945,-7.32116,2.58945,-0.0588602,0.170269,-261.311,-6.55371,-7.33722,-0.102832,-0.18,-261.46,-7.27802,-7.30509,-0.0971191,-0.00667729,0.0201761,-0,0,-0.00406494,0
14700,2.5887,2.5894,-7.05729,2.5894,-0.0588693,0.170275,-261.345,-6.70206,-7.07415,-0.0834961,-0.113787,-261.502,-7.1384,-7.04043,-0.0165894,0.0275889,0.0201761,-0,0,-0.00406494,0
14701,2.58867,2.58937,-7.02447,2.58937,-0.0588754,0.170297,-261.379,-7.0424,-7.04073,-0.150732,0.00254605,-261.53,-6.42572,-7.00822,-0.132715,-0.18,0.0201761,-0,0,0.00109863,0
14702,2.58865,2.58935,-7.05878,2.58935,-0.0588896,0.170315,-261.414,-6.47808,-7.07545,-0.105908,-0.18,-261.568,-6.32973,-7.04211,-0.134583,-0.18,0.0201761,-0,0,0.00109863,0
14703,2.58862,2.58934,-7.18105,2.58934,-0.0589124,0.17031,-261.439,-6.46644,-7.19776,-0.14502,-0.18,-261.595,-6.61771,-7.16433,-0.0437256,-0.165354,0.0201761,-0,0,-0.00406494,0
14704,2.5886,2.5893,-7.04566,2.5893,-0.0588904,0.170342,-261.478,-6.93768,-7.06179,-0.132935,-0.0331157,-261.628,-6.45772,-7.02953,-0.125464,-0.176483,0.0201761,-0,0,0.00109863,0
14705,2.58857,2.5893,-7.27499,2.5893,-0.0588977,0.17035,-261.512,-6.51008,-7.29124,-0.1526,-0.18,-261.663,-7.25475,-7.25875,-0.0234009,0.00628925,0.0201761,-0,0,-0.00109863,0
14706,2.58855,2.58926,-7.09286,2.58926,-0.0589207,0.170373,-261.545,-6.72243,-7.10968,-0.129419,-0.114595,-261.701,-6.78642,-7.07603,-0.0894287,-0.083523,0.0201761,-0,0,-0.00406494,0
14707,2.58852,2.58925,-7.28653,2.58925,-0.0588971,0.170358,-261.576,-6.76606,-7.30355,-0.146558,-0.160212,-261.734,-6.67007,-7.2695,-0.117773,-0.178939,0.0201761,-0,0,-0.00109863,0
14708,2.5885,2.58924,-7.44128,2.58924,-0.0588875,0.170421,-261.609,-6.47808,-7.45773,-0.141504,-0.18,-261.762,-7.25475,-7.42483,-0.0374634,-0.0525366,0.0201761,-0,0,-0.00406494,0
14709,2.58847,2.58921,-7.34691,2.58921,-0.0588717,0.170399,-261.65,-7.02204,-7.36331,-0.151721,-0.101196,-261.802,-6.83006,-7.33051,-0.133594,-0.149849,0.0201761,-0,0,-0.00109863,0
14710,2.58845,2.58916,-7.10523,2.58916,-0.058875,0.170425,-261.684,-6.55371,-7.12159,-0.14447,-0.172074,-261.836,-6.88242,-7.08888,-0.0999756,-0.0569538,0.0201761,-0,0,0.00109863,0
14711,2.58842,2.58913,-7.10524,2.58913,-0.0589058,0.170428,-261.718,-6.79806,-7.12146,-0.0907471,-0.0993534,-261.868,-6.40245,-7.08903,-0.14469,-0.18,0.0201761,-0,0,0.00109863,0
14712,2.5884,2.58912,-7.26898,2.58912,-0.0589107,0.17045,-261.744,-6.51008,-7.28597,-0.126672,-0.18,-261.902,-6.48972,-7.25199,-0.0862427,-0.18,0.0201761,-0,0,-0.00406494,0
